key,en,ca,cs,de,es,fr,id,it,ja,ko,pl,pt,ru,th,tr,vi,zh
EPILOGUE_CALL_TO_PLAY_MORE,"Wow, we didn't think someone would actually beat the epilogue. Head over to the main menu to play some of the additional game modes!","Vaja, no pensàvem que algú realment guanyaria l'epíleg. Dirigeix-te al menú principal per jugar algunes de les modalitats de joc addicionals!","Wow, nemysleli jsme si, že někdo skutečně porazí epilog. Přejděte do hlavního menu a zahrajte si některé z dalších herních režimů!","Wow, wir hätten nicht gedacht, dass jemand tatsächlich das Epilog besiegt. Gehe ins Hauptmenü, um einige der zusätzlichen Spielmodi zu spielen!","Vaya, pensábamos que nadie se pasaría el epílogo. Ve al menú principal para jugar a los otros modos de juego.","Wow, nous ne pensions pas que quelqu'un réussirait à battre l'épilogue. Dirigez-vous vers le menu principal pour jouer à certains des modes de jeu supplémentaires !","Wow, kami tidak menyangka seseorang benar-benar bisa menyelesaikan epilog. Pergi ke menu utama untuk memainkan beberapa mode permainan tambahan!","Wow, non pensavamo che qualcuno potesse davvero battere l'epilogo. Vai al menu principale per giocare alcune delle modalità di gioco aggiuntive!",おお、実際に誰かがエピローグをクリアするとは思いませんでした。メインメニューに戻って追加のゲームモードをプレイしてください！,"와, 누군가가 실제로 에필로그를 통과할 것이라고 생각하지 않았습니다. 추가 게임 모드를 플레이하려면 메인 메뉴로 가세요!","Wow, nie sądziliśmy, że ktoś rzeczywiście pokona epilog. Przejdź do menu głównego, aby zagrać w niektóre z dodatkowych trybów gry!","Uau, não achávamos que alguém realmente venceria o epílogo. Vá para o menu principal para jogar alguns dos modos de jogo adicionais!","Вау, мы не ожидали, что кто-то сможет пройти эпилог. Перейдите в главное меню, чтобы поиграть в некоторые из дополнительных режимов игры!",ว้าว เราไม่คิดว่ามีคนจะเอาชนะตำนานได้จริง ไปที่เมนูหลักเพื่อเล่นโหมดเกมเพิ่มเติมที่บางส่วน!,"Vay, birinin gerçekten epilog'u geçeceğini düşünmemiştik. Ek oyun modlarından bazılarını oynamak için ana menüye git!","Wow, chúng tôi không nghĩ rằng ai đó thực sự có thể đánh bại epilogue. Hãy quay lại menu chính để chơi một số chế độ trò chơi thêm!",哇，我们没想到有人会真的打败后记。请前往主菜单玩一些额外的游戏模式！
LASER_CRIT_BONUS,Laser Critical Damage Bonus,Boni de Dany Crític Làser,Bonus za Kritické Poškození Laseru,Bonus für kritischen Laserschaden,Daño crítico adicional del Láser,Bonus de Dégâts Critiques de Laser,Bonus Damage Kritis Laser,Bonus Danno Critico da Laser,レーザークリティカルダメージボーナス,레이저 치명타 보너스,Bonus Krytycznych Obrażeniem Lasera,Bônus de Dano Crítico a Laser,Бонус критического урона от лазера,โบนัสความเสียหายวิกฤตเลเซอร์,Lazer Kritik Hasar Bonusu,Tiền Thưởng Sát Thương Kích Cỡ Laser,激光暴击伤害奖励
MOONS_COLLECTED_THIS_SESSION,Moons Collected,Llunes Recollides,Měsíce Sběr,Gesammelte Monde,Lunas recogidas,Lunes Collectées,Bulan Dikumpulkan,Lune Raccolte,収集した月,수집한 달,Zebrane Księżyce,Luas Coletadas,Собранные луны,ดวงจันทร์ที่รวบรวมได้,Toplanan Aylar,Mặt Trăng Được Thu Thập,收集的卫星
JUNE,June,Juny,Červen,Juni,Junio,Juin,Juni,Giugno,6月,6월,Czerwiec,Junho,Июнь,มิถุนายน,Haziran,Tháng 6,6月
COMET_SHOWER_SIZE,Amount of Comets in a Comet Shower,Quantitat de Cometes en un Xàfec de Cometes,Množství Komet v Déšti Komet,Anzahl der Kometen in einem Kometenschauer,Número de Cometas en una Lluvia de Cometas,Montant de Comètes dans une Pluie de Comètes,Jumlah Komet dalam Hujan Komet,Quantità di Comete in una Rovina di Comete,彗星シャワーにある彗星の量,혜성 내릴 때의 혜성 수,Ilość Komety w Deszczu Komety,Quantidade de Cometas em uma Chuva de Cometas,Количество комет в метеоритном дожде,จำนวนดาวหางในดาวหาง,Bir Kuyruklu Yıldız Yağmurundaki Kuyruklu Yıldız Sayısı,Số Lượng Sao Chổi Trong Một Cơn Mưa Sao Chổi,彗星雨中的彗星数量
THURSDAY_SHORT,Thu,Dj,Čt,Do,Jue,Jeu,Kam,Gio,木,목,Cz,Qui,Чт,พฤ.,Per,T5,四
WISHLIST,Wishlist,Llista de Desitjos,Seznam Přání,Wunschliste,Lista de deseos,Liste de Souhaits,Daftar Keinginan,Lista dei Desideri,ウィッシュリスト,위시리스트,Lista Życzeń,Lista de Desejos,Список желаемого,รายการที่ต้องการ,İlgilenilenler,Danh Sách Ao ước,愿望清单
MANUAL_CLICKS_THIS_SESSION,Useless Manual Clicks,Clics Manuals Inútils,Zbytečné Ruční Kliknutí,Nutzlose manuelle Klicks,Clics manuales desperdiciados,Clics Manuels Inutiles,Klik Manual yang Tidak Berguna,Clic Manuali Inutili,無駄な手動クリック,쓸모없는 수동 클릭 수,Bezużyteczne Kliknięcia Ręczne,Cliques Manuais Inúteis,Бесполезные ручные клики,คลิกแมนนวลที่ไม่ใช้ประโยชน์,Faydasız Manuel Tıklamalar,Nhấp Chuột Thủ Công Vô Ích,无用的手动点击
SPECIAL_STAR_ELECTRIC_DAMAGE,Electric Star Damage,Dany d'Estrella Elèctrica,Poškození Elektrické Hvězdy,Elektrischer Sternenschaden,Daño de Estrellas Eléctricas,Dégâts d'Étoile Électrique,Damage Bintang Listrik,Danno da Stella Elettrica,電気星のダメージ,전기 별 피해,Obrażenia Elektrowej Gwiazdy,Dano de Estrela Elétrica,Электрический урон от звезд,ความเสียหายจากดาวไฟฟ้า,Elektrikli Yıldız Hasarı,Sát Thương Sao Điện,电气星球伤害
THE_LINE,The Line,La línia,Linka,Die Linie,La Línea,La Ligne,Garis,La linea,ライン,라인,Linia,A Linha,Линия,เส้น,Çizgi,Đường thẳng,界线
JULY,July,Juliol,Červenec,Juli,Julio,Juillet,Juli,Luglio,7月,7월,Lipiec,Julho,Июль,กรกฎาคม,Temmuz,Tháng 7,7月
CHANCE_TO_RESPAWN_ASTEROID_ON_BREAK,Chance to Spawn New Asteroid when an Asteroid is Destroyed,Probabilitat de Generar Nou Asteroide quan un Asteroide és Destruït,"Šance na Vytvoření Nového Asteroidu, když je Asteroid Zničen","Chance, einen neuen Asteroiden zu erzeugen, wenn ein Asteroid zerstört wird",Probabilidad de generar otro Asteroide al destruir un Asteroide,Chance de Faire Apparaître un Nouvel Astéroïde lorsque un Astéroïde est Détruit,Peluang untuk Munculnya Asteroid Baru saat Asteroid Dihancurkan,Probabilità di Generare un Nuovo Asteroide quando un Asteroide viene Distrutto,小惑星が破壊されたときに新しい小惑星が生成されるチャンス,소행성이 파괴될 때 새로운 소행성을 생성할 확률,"Szansa na Pojawienie się Nowej Asteroidy, gdy Asteroida Zostanie Zniszczona",Chance de Gerar Novo Asteroide quando um Asteroide é Destruído,"Шанс появления нового астероида, когда астероид уничтожен",โอกาสในการเกิดดาวเคราะห์น้อยใหม่เมื่อดาวเคราะห์น้อยถูกทำลาย,Bir Asteroit Yok Edildiğinde Yeni Bir Asteroit Doğurma Şansı,Cơ Hội Sinh Ra Asteroid Mới Khi Một Asteroid Bị Phá Hủy,摧毁小行星时生成新小行星的机会
MONEY_PER_MATTER,Money from Asteroid Matter,Dinero de Matèria d'Asteroide,Peníze z Asteroidní Materie,Geld aus Asteroidenmaterie,Dinero por Materia asteroidal,Argent provenant de la Matière d'Astéroïde,Uang dari Materi Asteroid,Denaro derivante dalla Materia di Asteroidi,小惑星物質からのお金,소행성 물질에서 얻는 돈,Pieniądze z Materiału Asteroidów,Dinheiro de Matéria de Asteroide,Деньги от материи астероидов,เงินจากสสารดาวเคราะห์น้อย,Asteroit Maddesinden Para,Tiền Từ Vật Chất Asteroid,来自小行星物质的金钱
SEPTEMBER,September,Setembre,Září,September,Septiembre,Septembre,September,Settembre,9月,9월,Wrzesień,Setembro,Сентябрь,กันยายน,Eylül,Tháng 9,9月
CHANCE_TO_SPAWN_SPECIAL_ASTEROID_GOLDEN,Chance to Spawn a Golden Asteroid,Probabilitat de Generar un Asteroide Daurat,Šance na Vytvoření Zlatého Asteroidu,"Chance, einen goldenen Asteroiden zu spawnen",Probabilidad de generar un Asteroide Dorado,Chance de Faire Apparaître un Astéroïde Doré,Peluang untuk Munculnya Asteroid Emas,Probabilità di Generare un Asteroide Dorato,金色小惑星を生成するチャンス,황금 소행성 생성 확률,Szansa na Pojawienie się Złotej Asteroidy,Chance de Gerar um Asteroide Dourado,Шанс спавна золотого астероида,โอกาสในการเกิดดาวเคราะห์น้อยทองคำ,Altın Asteroit Doğurma Şansı,Cơ Hội Sinh Ra Asteroid Vàng,生成金色小行星的机会
BASE_DAMAGE_PER_CLICK,Breaker Damage,Dany de Breaker,Poškození Breakeru,Brecher-Schaden,Daño del Rompedor,Dégâts de Briseur,Damage Breaker,Danno del Frantumatore,ブレイカーのダメージ,브레이커 피해,Obrażenia Breakera,Dano do Quebrador,Урон разрушителя,ความเสียหายเบรกเกอร์,Kırıcı Hasarı,Sát Thương Đập,破坏者伤害
FRIDAY_SHORT,Fri,Dv,Pá,Fr,Vie,Ven,Jum,Ven,金,금,Pt,Sex,Пт,ศ.,Cum,T6,五
QUIT,Quit,Sortir,Odejít,Beenden,Salir,Quitter,Keluar,Esci,終了,종료,Wyjdź,Sair,Выход,ออก,Çıkış,Thoát,退出
LASER_DAMAGE,Laser Damage,Dany Làser,Poškození Laseru,Laser-Schaden,Daño de Láseres,Dégâts de Laser,Damage Laser,Danno da Laser,レーザーのダメージ,레이저 피해,Obrażenia Lasera,Dano a Laser,Урон от лазера,ความเสียหายเลเซอร์,Lazer Hasarı,Sát Thương Laser,激光伤害
ELECTRIC_CRIT_BONUS,Electric Asteroid Critical Damage Bonus,Boni de Dany Crític d'Asteroide Elèctric,Bonus za Kritické Poškození Elektrického Asteroidu,Bonus für kritischen elektrischen Asteroidenschaden,Daño crítico adicional de los Asteroides Eléctricos,Bonus de Dégâts Critiques d'Astéroïde Électrique,Bonus Damage Kritis Asteroid Listrik,Bonus Danno Critico dell'Asteroide Elettrico,電気小惑星クリティカルダメージボーナス,전기 소행성 치명타 보너스,Bonus Krytycznych Obrażeniem Elektrowej Asteroidy,Bônus de Dano Crítico do Asteroide Elétrico,Бонус критического урона электрического астероида,โบนัสความเสียหายวิกฤตดาวเคราะห์น้อยไฟฟ้า,Elektrikli Asteroit Kritik Hasar Bonusu,Tiền Thưởng Đánh Kích Cỡ Asteroid Điện,电气小行星暴击伤害奖励
SPECIAL_ASTEROID_GOLDEN_CRIT_CHANCE,Golden Asteroid Crit Chance,Probabilitat de Crítica d'Asteroide Daurat,Šance na Kritické Poškození Zlatého Asteroidu,Kritische Chance auf goldene Asteroiden,Probabilidad de crítico de los Asteroides Dorados,Chance Critique d'Astéroïde Doré,Peluang Kritis Asteroid Emas,Probabilità Critica Asteroide Dorato,金色小惑星のクリティカルチャンス,황금 소행성 치명타 확률,Szansa Krytyczna Złotej Asteroidy,Chance Crítica do Asteroide Dourado,Шанс критического удара золотого астероида,โอกาสวิกฤตดาวเคราะห์น้อยทองคำ,Altın Asteroit Kritik Şansı,Cơ Hội Kích Cỡ Asteroid Vàng,金色小行星暴击机会
STAR_ELECTRIC_DAMAGE_THIS_SESSION,Electric Star Damage,Dany d'Estrella Elèctrica,Poškození Elektrické Hvězdy,Elektrischer Sternenschaden,Daño de las Estrellas Eléctricas,Dégâts d'Étoile Électrique,Damage Bintang Listrik,Danno da Stella Elettrica,電気星のダメージ,전기 별 피해,Obrażenia Elektrowej Gwiazdy,Dano de Estrela Elétrica,Электрический урон от звезд,ความเสียหายจากดาวไฟฟ้า,Elektrikli Yıldız Hasarı,Sát Thương Sao Điện,电气星球伤害
AUGUST,August,Agost,Srpen,August,Agosto,Août,Agustus,Agosto,8月,8월,Sierpień,Agosto,Август,สิงหาคม,Ağustos,Tháng 8,8月
RESUME,Resume,Reprend,Pokračovat,Fortsetzen,Reanudar,Reprendre,Lanjutkan,Riprendi,再開,재개,Wznów,Retomar,Продолжить,ดำเนินการต่อ,Devam Et,Tiếp Tục,恢复
UPGRADES,Upgrades,Millores,Upgrady,Upgrades,Mejoras,Améliorations,Upgrade,Aggiornamenti,アップグレード,업그레이드,Ulepszenia,Upgrades,Обновления,การอัปเกรด,Yükseltmeler,Nâng Cấp,升级
CHALLENGE_MODE_DESCRIPTION,Coming Soon,Properament,Brzy se objeví,Bald verfügbar,Próximamente,À Venir Bientôt,Segera Hadir,In Arrivo,近日公開,곧 출시됩니다,Już Wkrótce,Em Breve,Скоро,มีกำหนดในเร็วๆ นี้,Yolda,Sẽ Sớm Có,即将推出
GIANT_GRID_DESCRIPTION,"We're currently testing this mode. It's a big grid with stuff to explore, you don't need all the nodes to win, so which ones will you choose?","Actualment estem provant aquest mode. És una gran quadrícula amb coses per explorar, no necessites tots els nodes per guanyar, així que quins triaràs?","Tento režim momentálně testujeme. Je to velká mřížka s věcmi k prozkoumání, k vítězství nepotřebujete všechny uzly, takže které si vyberete?","Wir testen diesen Modus gerade. Es ist ein großes Raster mit vielen Dingen zum Erkunden. Man braucht nicht alle Knotenpunkte, um zu gewinnen. Welche wirst du auswählen?",Este modo todavía está bajo pruebas. Es una cuadrícula enorme que explorar. No hacen falta todas las mejoras para ganar. ¿Cuáles escogerás?,"Nous testons actuellement ce mode. Il s'agit d'une grande grille avec des éléments à explorer ; vous n'avez pas besoin de tous les nœuds pour gagner, alors lesquels choisirez-vous ?","Saat ini kami sedang menguji mode ini. Ini adalah grid besar dengan banyak hal untuk dijelajahi, Anda tidak perlu semua node untuk menang, jadi node mana yang akan Anda pilih?","Stiamo testando questa modalità. È una grande griglia con elementi da esplorare, non è necessario avere tutti i nodi per vincere, quindi quali sceglierai?",現在このモードをテスト中です。探索できる要素が豊富な広大なグリッドで、勝利するために全てのノードを獲得する必要はありません。さあ、どのノードを選びますか？,"현재 이 모드를 테스트 중입니다. 탐험할 요소가 가득한 거대한 격자 형태이며, 모든 노드를 다 차지하지 않아도 승리할 수 있습니다. 어떤 노드를 선택하시겠습니까?","Aktualnie testujemy ten tryb. To duża siatka z elementami do eksploracji. Nie potrzebujesz wszystkich węzłów, aby wygrać, więc które wybierzesz?","Atualmente, estamos testando esse modo. É uma grande grade com coisas para explorar; você não precisa de todos os nós para vencer, então, quais você escolherá?","Сейчас мы тестируем этот режим. Это большая сетка с объектами для исследования, вам не нужно захватить все узлы, чтобы победить, так какие же вы выберете?",ขณะนี้เรากำลังทดสอบโหมดนี้อยู่ มันเป็นตารางขนาดใหญ่ที่มีสิ่งต่างๆ ให้สำรวจ คุณไม่จำเป็นต้องสำรวจทุกโหนดเพื่อชนะ ดังนั้นคุณจะเลือกโหนดไหนบ้าง?,"Şu anda bu modu test ediyoruz. Keşfedilecek birçok şeyin olduğu büyük bir ızgara; kazanmak için tüm düğümlere ihtiyacınız yok, peki hangilerini seçeceksiniz?","Chúng tôi hiện đang thử nghiệm chế độ này. Đó là một lưới lớn với nhiều thứ để khám phá, bạn không cần phải chiếm hết tất cả các nút để chiến thắng, vậy bạn sẽ chọn những nút nào?",我们目前正在测试这种模式。这是一个有很多东西可以探索的大型网格，你不需要收集所有节点就能获胜，那么你会选择哪些节点呢？
SPECIAL_STAR_ELECTRIC_MAX_CHAINS,Electric Star Max Chains,Màxim Xains d'Estrella Elèctrica,Maximální Řetězce Elektrické Hvězdy,Maximale Ketten elektrischer Sterne,Límite de saltos de las Estrellas Eléctricas,Max de Chaînes d'Étoile Électrique,Maksimum Rantai Bintang Listrik,Catene Massime della Stella Elettrica,電気星の最大チェーン,전기 별 최대 연쇄,Maksymalne Łańcuchy Elektrowej Gwiazdy,Máximas Correntes de Estrela Elétrica,Максимальная цепь электрической звезды,การเชื่อมต่อสูงสุดของดาวไฟฟ้า,Elektrikli Yıldız Maksimum Zincir Sayısı,Sát Thương Sao Điện Tối Đa,电气星球最大连锁
SUPERNOVA_RADIUS_SCALE,Supernova Radius,Radi de Supernova,Poloměr Supernovy,Supernova-Radius,Radio de las Supernovas,Rayon de Supernova,Radius Supernova,Raggio della Supernova,超新星の半径,슈퍼노바 반경,Promień Supernowej,Raio de Supernova,Радиус сверхновой,ระยะซูเปอร์โนวา,Süpernova Yarıçapı,Bán Kính Siêu Nova,超新星半径
SPECIAL_PLANET_MOON_CLIKCER_AOE_BUFF_SCALE,Moon Buff Scale for Breaker Radius,Escala de Buff de Lluna per el Radi de Breaker,Měsíční Buff Měřítko pro Poloměr Breakeru,Buff-Skala des Mondes für Brecher-Radius,Multiplicador del don lunar al radio del Rompedor,Échelle de Buff de Lune pour Rayon de Briseur,Skala Buff Bulan untuk Jarak Breaker,Scala Buff Luna per Raggio del Frantumatore,ブレイカーレイディウスのための月バフスケール,브레이커 반경에 대한 달 버프 스케일,Skala Buffu Księżyca dla Promienia Breakera,Escala do Buff da Lua para Raio do Quebrador,Масштаб бонуса луны для радиуса разрушителя,สเกลบัฟดวงจันทร์สำหรับระยะการเบรกเกอร์,Kırıcı Yarıçapı için Ay Buff Ölçeği,Tỷ Lệ Buff Mặt Trăng cho Bán Kính Đập,卫星对破坏者半径的增益比例
UFO_SPAWN_CHANCE,Chance to Spawn a UFO,Probabilitat de Generar un OVNI,Šance na Vytvoření UFO,"Chance, ein UFO zu spawnen",Probabilidad de generar un OVNI,Chance de Faire Apparaître un OVNI,Peluang untuk Munculnya UFO,Probabilità di Generare un UFO,UFOを生成するチャンス,UFO 생성 확률,Szansa na Pojawienie się UFO,Chance de Gerar um UFO,Шанс спавна НЛО,โอกาสในการเกิด UFO,Bir UFO Doğurma Şansı,Cơ Hội Sinh Ra một UFO,生成 UFO 的机会
SETTING,Settings,Configuracions,Nastavení,Einstellungen,Configuración,Paramètres,Pengaturan,Impostazioni,設定,설정,Ustawienia,Configurações,Настройки,การตั้งค่า,Ayarlar,Cài Đặt,设置
COMET_CRIT_CHANCE_BUFF_SCALE,Crit Comet Buff Scale,Escala de Buff de Comet Crític,Měřítko Buffu Kritické Komety,Buff-Skala des kritischen Kometen,Multiplicador del don Cometa Crítico,Échelle de Buff de Comète Critique,Skala Buff Komet Kritis,Scala Buff Cometa Critica,クリティカル彗星バフスケール,치명타 혜성 버프 스케일,Skala Buffu Krytycznej Komety,Escala do Buff do Cometa Crítico,Масштаб бонуса критической кометы,สเกลบัฟดาวหางวิกฤต,Kritik Kuyruklu Yıldız Buff Ölçeği,Tỷ Lệ Buff Sao Chổi,暴击彗星增益比例
MUSIC VOLUME,Music Volume,Volum de Música,Hlasitost Hudby,Musiklautstärke,Volumen de la música,Volume de Musique,Volume Musik,Volume della Musica,音楽ボリューム,음악 음량,Głośność Muzyki,Volume da Música,Громкость музыки,ระดับเสียงเพลง,Müzik Ses Seviyesi,Âm Lượng Nhạc,音乐音量
TIME_ADDED_THIS_SESSION,Time Added,Temps Afegit,Čas Přidán,Zeit hinzugefügt,Tiempo añadido,Temps Ajouté,Waktu Tambahan,Tempo Aggiunto,追加された時間,추가된 시간,Czas Dodany,Tempo Adicionado,Время добавлено,เวลาเพิ่ม,Eklenen Zaman,Thời Gian Thêm,增加的时间
MAIN_MODE_DESCRIPTION,"This is the main game mode. A short incremental mode about feeding a black hole matter by destroying asteroids, planets, and stars.","Aquesta és la modalitat principal del joc. Un mode incremental curt sobre alimentar un forat negre amb matèria destruint asteroides, planetes i estrelles.","To je hlavní herní režim. Krátký inkrementální režim o krmení černé díry materiálem ničením asteroidů, planet a hvězd.","Dies ist der Hauptspielmodus. Ein kurzer inkrementeller Modus über das Füttern eines Schwarzen Loches mit Materie, indem Asteroiden, Planeten und Sterne zerstört werden.","Este es el modo principal del juego. Un modo corto y progresivo que trata de alimentar a un agujero negro con la materia de asteroides, planetas y estrellas destruidos.","C'est le mode de jeu principal. Un mode incrémental court sur nourrir un trou noir de matière en détruisant des astéroïdes, des planètes et des étoiles.","Ini adalah mode permainan utama. Sebuah mode tambahan singkat tentang memberi makan lubang hitam dengan menghancurkan asteroid, planet, dan bintang.","Questa è la modalità di gioco principale. Una breve modalità incrementale sul nutrimento di un buco nero con materia distruggendo asteroidi, pianeti e stelle.",これはメインゲームモードです。小惑星、惑星、星を破壊してブラックホールに物質を与える短いインクリメンタルモードです。,"이것은 메인 게임 모드입니다. 소행성, 행성, 별을 파괴하여 블랙홀에 물질을 먹이는 짧은 증가형 모드입니다.","To główny tryb gry. Krótki tryb inkrementalny, w którym karmisz czarną dziurę materiałem, niszcząc asteroidy, planety i gwiazdy.","Este é o modo principal do jogo. Um modo incremental curto sobre alimentar um buraco negro com matéria destruindo asteroides, planetas e estrelas.","Это основной режим игры. Короткий инкрементальный режим о кормлении черной дыры материей, уничтожая астероиды, планеты и звезды.",นี่คือโหมดเกมหลัก โหมดเพิ่มขึ้นสั้นๆ เกี่ยวกับการให้อาหารหลุมดำด้วยการทำลายดาวเคราะห์น้อย ดาวเคราะห์ และดาว,"Bu ana oyun modu. Asteroitleri, gezegenleri ve yıldızları yok ederek kara deliğe madde beslemeye odaklanan kısa bir artan mod.","Đây là chế độ chơi chính. Một chế độ ngắn về việc cho lỗ đen ăn bằng cách phá hủy asteroid, hành tinh và sao.",这是主要游戏模式。一个短期增量模式，通过摧毁小行星、行星和恒星来为黑洞提供物质。
SPECIAL_ASTEROID_CHAIN_DISTANCE_SCALE,Electric Asteroid Chain Distance,Distància de Cadena d'Asteroide Elèctric,Vzdálenost Elektrického Asteroidu v Řetězci,Kettendistanz elektrischer Asteroiden,Distancia de salto del los Asteroides Eléctricos,Distance de Chaîne d'Astéroïde Électrique,Jarak Rantai Asteroid Listrik,Distanza della Catena dell'Asteroide Elettrico,電気小惑星のチェーン距離,전기 소행성 연쇄 거리,Odległość Łańcucha Elektrowej Asteroidy,Distância da Corrente de Asteroide Elétrico,Расстояние цепи электрического астероида,ระยะห่างของการเชื่อมต่อดาวเคราะห์น้อยไฟฟ้า,Elektrikli Asteroit Zincir Mesafesi,Khoảng Cách Chuỗi Asteroid Điện,电气小行星连锁距离
RUN_TIMER_AMOUNT_ON_BLACK_HOLE_GROW,Time Added when Black Hole Grows,Temps Afegit quan el Forat Negre Creix,"Čas Přidán, když se Černá Dírka Zvětší","Zeit hinzugefügt, wenn das Schwarze Loch wächst",Tiempo adicional cuando el Agujero negro crece,Temps Ajouté lorsque le Trou Noir Grandit,Waktu Tambahan saat Lubang Hitam Membesar,Tempo Aggiunto quando il Buco Nero Cresce,ブラックホールが成長したときに追加される時間,블랙홀 성장 시 추가되는 시간,"Czas Dodany, gdy Czarna Dziura Rośnie",Tempo Adicionado quando o Buraco Negro Cresce,"Время добавлено, когда черная дыра растет",เวลาที่เพิ่มขึ้นเมื่อหลุมดำเติบโต,Kara Delik Büyüdüğünde Eklenen Zaman,Thời Gian Thêm Khi Lỗ Đen Tăng Trưởng,黑洞增长时增加的时间
WINDOWED,Windowed,Finestra,Okno,Fenstermodus,Ventana,Fenêtré,Jendela,Finestra,ウィンドウモード,창 모드,Okno,Janela,В окне,หน้าต่าง,Pencereli,Cửa Sổ,窗口
MONEY_EARNED_THIS_SESSION,Money Earned This Session,Dinero ganado en esta sesión,Dinero ganado en esta sesión,Dinero ganado en esta sesión,Dinero ganado en esta sesión,Dinero ganado en esta sesión,Dinero ganado en esta sesión,Dinero ganado en esta sesión,Dinero ganado en esta sesión,Dinero ganado en esta sesión,Dinero ganado en esta sesión,Dinero ganado en esta sesión,Dinero ganado en esta sesión,Dinero ganado en esta sesión,Dinero ganado en esta sesión,Dinero ganado en esta sesión,Dinero ganado en esta sesión
FRIDAY,Friday,Divendres,Pátek,Freitag,Viernes,Vendredi,Jumat,Venerdì,金曜日,금요일,Piątek,Sexta-feira,Пятница,วันศุกร์,Cuma,Thứ sáu,星期五
QUICK_MODE_GAME_OVER_TEXT,You beat this game mode!,Has guanyat aquest mode de joc!,Porazili jste tento herní režim!,Du hast diesen Spielmodus geschafft!,¡Has superado este modo de juego!,Vous avez battu ce mode de jeu !,Anda telah mengalahkan mode permainan ini!,Hai battuto questa modalità di gioco!,このゲームモードをクリアしました！,이 게임 모드를 이겼습니다!,Pokonałeś ten tryb gry!,Você venceu este modo de jogo!,Вы прошли этот игровой режим!,คุณเอาชนะโหมดเกมนี้ได้!,Bu oyun modunu geçtiniz!,Bạn đã đánh bại chế độ trò chơi này!,您击败了这个游戏模式！
STARS_TO_SPAWN,Number of Stars,Nombre d'estrelles,Počet hvězd,Anzahl der Sterne,Número de Estrellas,Nombre d'étoiles,Jumlah Bintang,Numero di stelle,星の数,별의 개수,Liczba gwiazdek,Número de estrelas,Количество звёзд,จำนวนดาว,Yıldız Sayısı,Số sao,星星数量
BREAKER_CRIT_DAMAGE_THIS_SESSION,Breaker Critical Damage,Dany Crític de Breaker,Kritické Poškození Breakeru,Kritischer Brecher-Schaden,Daño crítico del Rompedor,Dégâts Critiques de Briseur,Damage Kritis Breaker,Danno Critico del Frantumatore,ブレイカーのクリティカルダメージ,브레이커 치명타 피해,Krytyczne Obrażenia Breakera,Dano Crítico do Quebrador,Критический урон разрушителя,ความเสียหายวิกฤตเบรกเกอร์,Kırıcı Kritik Hasarı,Sát Thương Đập Kích Cỡ,破坏者暴击伤害
PLANETS_TO_SPAWN,Number of Planets,Nombre de planetes,Počet planet,Anzahl der Planeten,Número de Planetas,Nombre de planètes,Jumlah Planet,Numero di pianeti,惑星の数,행성의 수,Liczba planet,Número de planetas,Количество планет,จำนวนดาวเคราะห์,Gezegen Sayısı,Số lượng hành tinh,行星数量
COMING_SOON_DATE_SHORT,"Coming Soon: {day_of_week}, {month} {day}","Properament: {day_of_week}, {day} de {month}",Již brzy: {day_of_week} {day}. {month},"Demnächst: {day_of_week}, {day}. {month}",Próximamente: {day_of_week} {day} de {month},Bientôt: {day_of_week} {day} {month},Segera Hadir: {day_of_week} {day} {month},Prossimamente: {day_of_week} {day} {month},近日公開: {month}{day}日（{day_of_week}）,출시 예정: {month} {day}일 {day_of_week},"Wkrótce: {day_of_week}, {day} {month}","Em Breve: {day_of_week}, {day} de {month}","Скоро: {day_of_week}, {day} {month}",เร็วๆ นี้: {day_of_week} {day} {month},"Yakında: {day_of_week}, {day} {month}",Sắp ra mắt: {day_of_week} {day} tháng {month},即将推出：{month}{day}日 {day_of_week}
SPECIAL_PLANET_FROZEN_SHARD_DISTANCE_SCALE,Frozen Shard Distance,Distància de Trossos Congelats,Vzdálenost Zmrzlého Úlomku,Entfernung gefrorener Splitter,Alcance del Fragmento congelado,Distance de Morceau Gelé,Jarak Pecahan Beku,Distanza Pendente Congelata,凍った破片の距離,얼어붙은 파편 거리,Odległość Zamarzniętej Szpatuły,Distância do Fragmento Congelado,Расстояние замороженного осколка,ระยะห่างของชิ้นส่วนที่ถูกแข็งตัว,Donmuş Parça Mesafesi,Khoảng Cách Mảnh Băng,冻结碎片距离
CLICKER_CRIT_BONUS,Breaker Critical Damage Bonus,Boni d'Dany Crític de Breaker,Bonus za Kritické Poškození Breakeru,Bonus für kritischen Brecher-Schaden,Daño crítico adicional del Rompedor,Bonus de Dégâts Critiques de Briseur,Bonus Damage Kritis Breaker,Bonus Danno Critico del Frantumatore,ブレイカークリティカルダメージボーナス,브레이커 치명타 보너스,Bonus Krytycznych Obrażeniem Breakera,Bônus de Dano Crítico do Quebrador,Бонус критического урона разрушителя,โบนัสความเสียหายวิกฤตเบรกเกอร์,Kırıcı Kritik Hasar Bonusu,Tiền Thưởng Đập Kích Cỡ,破坏者暴击伤害奖励
